X,Y,Name,Attribute,CATCOA,CATROD,CATSLO,ELEVAT,NATCON,OBJNAM,SORDAT,SORIND,STATUS,VALDCO
-63.98767345,-42.25691575,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.2111585271075,-42.2349628594058,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.4898154269685,-42.4366377011597,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.4892873,-42.4363776,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.5587679499053,-42.300398349962,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.1548293821875,-42.2377093395309,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.0131425609485,-42.2280861557507,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.0182991,-42.3416469,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.5031217,-42.2595620197654,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.2687865064733,-42.2280016392248,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.5321380761077,-42.4290208733536,Road,Value,,3,,,,,19950401,"AR,AR,graph,H277",,
-64.3168732494305,-42.2327300870658,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.2266340245829,-42.4277275910719,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.38856255,-42.45341615,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.13138725,-42.44411235,Road,Value,,3,,,,,19950401,"AR,AR,graph,H277",,
-64.1331502890255,-42.4444661066654,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.3985544388632,-42.4468703592381,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.3976933675417,-42.4485397199161,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.1109730999936,-42.235187899999,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-63.97120245,-42.1553765,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.1680291313582,-42.2391442911008,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.624458800009,-42.4329571000131,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.0415875000772,-42.3886781499462,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.3229114000075,-42.4151567000033,Road,Value,,3,,,,,19950401,"AR,AR,graph,H277",,
-64.0143419788066,-42.3497898645977,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.6147983643466,-42.430197539336,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.1984292424954,-42.2356336506937,Road,Value,,3,,,,,19950401,"AR,AR,graph,H277",,
-64.3209144311004,-42.4194045045291,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.5858020759981,-42.432130237065,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.5972752,-42.33036535,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.5333245499948,-42.4288706498419,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.1206808500409,-42.2411235000248,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.08137075,-42.23138305,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.52993155,-42.42986965,Road,Value,,3,,,,,19950401,"AR,AR,graph,H277",,
-64.3517384500381,-42.4302148500338,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.1004906387182,-42.2352363408459,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.0989633999903,-42.2363755499967,Road,Value,,3,,,,,19950401,"AR,AR,graph,H277",,
-64.2836959607821,-42.4181035339805,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.2896969836518,-42.4222091044189,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.6263198384614,-42.4368538826971,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.3231135,-42.4159121,Road,Value,,3,,,,,19950401,"AR,AR,graph,H277",,
-64.6596092560004,-42.3236496992279,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.671869676506,-42.2673605732667,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.1371377277083,-42.2381428425675,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.0939673877981,-42.2484024228856,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.325690319574,-42.4253457597226,Road,Value,,3,,,,,19950401,"AR,AR,graph,H277",,
-64.6221046372511,-42.4254649055241,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.6286658468181,-42.4328247950556,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.6296423961836,-42.4273507488277,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.3255993822671,-42.2356146088884,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.3323222998546,-42.4322741473707,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.499187323926,-42.441856966915,Road,Value,,4,,,,,19950401,"AR,AR,graph,H277",,
-64.626439986851,-42.4167288916513,River,Value,,,,,,,19950401,"AR,AR,graph,H277",5,
-64.19747911714,-42.4350885430599,River,Value,,,,,,,19950401,"AR,AR,graph,H277",5,
-64.271966837867,-42.4333928441413,River,Value,,,,,,,19950401,"AR,AR,graph,H277",5,
-64.2129258499826,-42.4275924499256,River,Value,,,,,,,19950401,"AR,AR,graph,H277",5,
-64.5570158487329,-42.2927161993638,River,Value,,,,,,,19950401,"AR,AR,graph,H277",5,
-64.25898585,-42.43582465,River,Value,,,,,,,19950401,"AR,AR,graph,H277",5,
-64.4159364,-42.4370059036035,River,Value,,,,,,,19950401,"AR,AR,graph,H277",5,
-64.487045,-42.4193020791573,River,Value,,,,,,,19950401,"AR,AR,graph,H277",5,
-64.2950552645806,-42.4333911067072,River,Value,,,,,,,19950401,"AR,AR,graph,H277",5,
-64.251942776976,-42.4349952770484,River,Value,,,,,,,19950401,"AR,AR,graph,H277",5,
-64.2197643,-42.42447905,River,Value,,,,,,,19950401,"AR,AR,graph,H277",5,
-64.0727204973807,-42.2538336935922,River,Value,,,,,,,19950401,"AR,AR,graph,H277",5,
-64.0685605999776,-42.2403123499796,River,Value,,,,,,,19950401,"AR,AR,graph,H277",5,
-64.0266734110251,-42.3047266125077,River,Value,,,,,,,19950401,"AR,AR,graph,H277",5,
-64.2368024999543,-42.435024149991,River,Value,,,,,,,19950401,"AR,AR,graph,H277",5,
